run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5
SRR17111319	PRJNA785817	SRP349102	SAMN23582757	SRS11208278	SRX13298587	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	30760856	7690214000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712997: MEC1 SF3B1 WT rep 1 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712997	GSM5712997_r1	1434428778;1436559011	2eac5e5f2b72023f795761ae2a3e58d6;14247972740b486ce6dece95c7d6b7a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/019/SRR17111319/SRR17111319_2.fastq.gz							1927662705	435ca8e6695bff4b1afcd496a1560588	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/019/SRR17111319.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/019/SRR17111319.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/019/SRR17111319.lite	GSM5712997		MEC1 SF3B1 WT rep 1 H3B-8800		2023-08-08			
SRR17111318	PRJNA785817	SRP349102	SAMN23582755	SRS11208276	SRX13298586	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	46222391	11555597750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712996: MEC1 SF3B1 K700E rep3 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712996	GSM5712996_r3	2158431691;2163729605	c06628cdc4775c22ff3153a424b898a8;f8469a09d33aaec95aedc1d03f30af03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/018/SRR17111318/SRR17111318_2.fastq.gz							2895282819	34989d0322edc3e13b5080e4fe962bc7	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/018/SRR17111318.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/018/SRR17111318.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/018/SRR17111318.lite	GSM5712996		MEC1 SF3B1 K700E rep3		2023-08-08			
SRR17111320	PRJNA785817	SRP349102	SAMN23582757	SRS11208278	SRX13298587	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	47955544	11988886000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712997: MEC1 SF3B1 WT rep 1 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712997	GSM5712997_r2	2236488090;2239827751	e3aa740453ea87277b9decf670415b0d;70bf80ecadaaf38998bc7559ac160c89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/020/SRR17111320/SRR17111320_2.fastq.gz							3004404052	84acc52ca616d9bcf576686aad22a03a	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/020/SRR17111320.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/020/SRR17111320.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/020/SRR17111320.lite	GSM5712997		MEC1 SF3B1 WT rep 1 H3B-8800		2023-08-08			
SRR17111323	PRJNA785817	SRP349102	SAMN23582758	SRS11208277	SRX13298588	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	43630496	10907624000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712998: MEC1 SF3B1 WT rep 2 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712998	GSM5712998_r2	2034059504;2036894690	49ba0af55aacd07e4242c65d070745b5;40cdda59379919ef7828c6447265adec	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/023/SRR17111323/SRR17111323_2.fastq.gz							2733371225	6fd3ee1f39f992eb4cf8bff06320f8c2	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/023/SRR17111323.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/023/SRR17111323.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/023/SRR17111323.lite	GSM5712998		MEC1 SF3B1 WT rep 2 H3B-8800		2023-08-08			
SRR17111326	PRJNA785817	SRP349102	SAMN23582759	SRS11208279	SRX13298589	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	50165371	12541342750	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712999: MEC1 SF3B1 WT rep 3 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712999	GSM5712999_r2	2339368317;2342303868	2ca461e90eb2ea9a7f83d8986f5a0475;e916a3852522571cfce563364674ccf5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/026/SRR17111326/SRR17111326_2.fastq.gz							3142745188	e222423021e7b2ad25cd87becad5cb14	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/026/SRR17111326.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/026/SRR17111326.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/026/SRR17111326.lite	GSM5712999		MEC1 SF3B1 WT rep 3 H3B-8800		2023-08-08			
SRR17111325	PRJNA785817	SRP349102	SAMN23582759	SRS11208279	SRX13298589	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	27772830	6943207500	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712999: MEC1 SF3B1 WT rep 3 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712999	GSM5712999_r1	1294899522;1296471823	85aa367ecb61802576bf97e34c6c0d6c;5a6f9992de07b83838257a782872f177	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/025/SRR17111325/SRR17111325_2.fastq.gz							1740361521	736ee44d2ba5f8f27b03186b17a175cd	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/025/SRR17111325.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/025/SRR17111325.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/025/SRR17111325.lite	GSM5712999		MEC1 SF3B1 WT rep 3 H3B-8800		2023-08-08			
SRR17111327	PRJNA785817	SRP349102	SAMN23582759	SRS11208279	SRX13298589	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	47731200	11932800000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712999: MEC1 SF3B1 WT rep 3 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712999	GSM5712999_r3	2225089220;2229753037	3ff6102b12b208212519d047a76295db;4524d6742ea30f7f7557496c74c7d97c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/027/SRR17111327/SRR17111327_2.fastq.gz							2989689040	1838ea647bd5c327453a2cda6c51ad2c	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/027/SRR17111327.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/027/SRR17111327.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/027/SRR17111327.lite	GSM5712999		MEC1 SF3B1 WT rep 3 H3B-8800		2023-08-08			
SRR17111329	PRJNA785817	SRP349102	SAMN23582760	SRS11208280	SRX13298590	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	45139525	11284881250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5713000: MEC1 SF3B1 K700E rep 1 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5713000	GSM5713000_r2	2103636339;2106390118	4997937e986d37bfc8b399435e135b56;4d3e83799209eaf81024acb1003eb277	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/029/SRR17111329/SRR17111329_2.fastq.gz							2827874929	9188156b6f8485c9e5c84e9c5ea170e1	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/029/SRR17111329.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/029/SRR17111329.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/029/SRR17111329.lite	GSM5713000		MEC1 SF3B1 K700E rep 1 H3B-8800		2023-08-08			
SRR17111334	PRJNA785817	SRP349102	SAMN23582747	SRS11208282	SRX13298592	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	32759912	8189978000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5713002: MEC1 SF3B1 K700E rep 3 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5713002	GSM5713002_r1	1527362317;1529691044	0bc0fc001654a42362b7aba9889a5713;e3719903d7201ff5ddaf9655f68e7260	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/034/SRR17111334/SRR17111334_2.fastq.gz							2053016929	14df434651a09737d79912b68fcee6f6	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/034/SRR17111334.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/034/SRR17111334.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/034/SRR17111334.lite	GSM5713002		MEC1 SF3B1 K700E rep 3 H3B-8800		2023-08-08			
SRR17111330	PRJNA785817	SRP349102	SAMN23582760	SRS11208280	SRX13298590	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	53077030	13269257500	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5713000: MEC1 SF3B1 K700E rep 1 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5713000	GSM5713000_r3	2472916238;2478279090	867e46bac4672fe1e3f7436fe3a595ad;7182cf6b0b989400031e6ba309f28e8c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/030/SRR17111330/SRR17111330_2.fastq.gz							3324520963	2723320d2d0e665bb3cdf72a90564a34	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/030/SRR17111330.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/030/SRR17111330.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/030/SRR17111330.lite	GSM5713000		MEC1 SF3B1 K700E rep 1 H3B-8800		2023-08-08			
SRR17111335	PRJNA785817	SRP349102	SAMN23582747	SRS11208282	SRX13298592	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	42082292	10520573000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5713002: MEC1 SF3B1 K700E rep 3 H3B-8800 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5713002	GSM5713002_r2	1961996778;1965062814	82a89e4d82c1f45453976f1638fe4490;1231a1df5b9ad2831e2b262329b18a9d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/035/SRR17111335/SRR17111335_2.fastq.gz							2636565248	a14f1b126e9c8fbcd11e294ed071ff90	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/035/SRR17111335.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/035/SRR17111335.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/035/SRR17111335.lite	GSM5713002		MEC1 SF3B1 K700E rep 3 H3B-8800		2023-08-08			
SRR17111302	PRJNA785817	SRP349102	SAMN23582748	SRS11208271	SRX13298581	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	57853425	14463356250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712991: MEC1 SF3B1 WT rep 1 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712991	GSM5712991_r2	2705252542;2710387599	c145756b405336ac33fc31f76fe24410;3d687ea388c559cb48398e4cd99471a0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/002/SRR17111302/SRR17111302_2.fastq.gz							3623500871	f03f13c970bdd7aca0f0a2f18f06db90	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/002/SRR17111302.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/002/SRR17111302.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/002/SRR17111302.lite	GSM5712991		MEC1 SF3B1 WT rep 1		2023-08-08			
SRR17111304	PRJNA785817	SRP349102	SAMN23582750	SRS11208272	SRX13298582	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	35546437	8886609250	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712992: MEC1 SF3B1 WT rep 2 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712992	GSM5712992_r1	1660445624;1663313626	e5eac208bbaeb424d2725124bde86ebf;349d483f99348f0c6cccd8999404a883	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/004/SRR17111304/SRR17111304_2.fastq.gz							2227492527	9dd2405c8c06091ca02fd98170e9b0e8	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/004/SRR17111304.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/004/SRR17111304.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/004/SRR17111304.lite	GSM5712992		MEC1 SF3B1 WT rep 2		2023-08-08			
SRR17111305	PRJNA785817	SRP349102	SAMN23582750	SRS11208272	SRX13298582	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	54248744	13562186000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712992: MEC1 SF3B1 WT rep 2 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712992	GSM5712992_r2	2534365632;2538773972	f699fe395bb97a3899ad156ca6060b37;f070f29db751ae0adc624930c9e59fee	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/005/SRR17111305/SRR17111305_2.fastq.gz							3398564834	fe60bd0547260f9ef27c1ee71c22d9bd	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/005/SRR17111305.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/005/SRR17111305.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/005/SRR17111305.lite	GSM5712992		MEC1 SF3B1 WT rep 2		2023-08-08			
SRR17111306	PRJNA785817	SRP349102	SAMN23582750	SRS11208272	SRX13298582	SRA1338067	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2500			PAIRED	RNA-Seq	TRANSCRIPTOMIC	cDNA	26887912	6721978000	GEO	2023-08-08	2023-08-09	Illumina HiSeq 2500 sequencing: GSM5712992: MEC1 SF3B1 WT rep 2 Homo sapiens RNA-Seq	Chronic Lymphocytic Leukemia MEC1 SF3B1 K700E and Wild Type Cell Lines' RNA-seq after Treatment with H3B-8800 Splicing Modulator.	GSE190087	GSM5712992	GSM5712992_r3	1255000400;1258284690	3a6f6a5b4c1069e73feeb90c44f64fdd;b6699e8d91f5df8091ec0c477f4bbef9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR171/006/SRR17111306/SRR17111306_2.fastq.gz							1684246823	d1061d33590c77268fd5dbfdbbf657a8	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/006/SRR17111306.lite	fasp.sra.ebi.ac.uk:/vol1/srr/SRR171/006/SRR17111306.lite	ftp.sra.ebi.ac.uk/vol1/srr/SRR171/006/SRR17111306.lite	GSM5712992		MEC1 SF3B1 WT rep 2		2023-08-08			
